quality_score;species;country_of_origin;farm_name;altitude;region;harvest_year;aroma;flavor;aftertaste;acidity;body;balance;cupper_points;total_cup_points;moisture;color
87.58;Arabica;United States;El Águila;Meters above sea level: 2.080;Antioquía-Caicedo;2014;8.0;8.5;8.58;8.17;8.17;8.0;8.17;Sample  87.58;0;
87.42;Arabica;Indonesia;Toarco Jaya;1200-1800m;Sulawesi;May-August;8.33;8.25;7.83;7.75;8.5;8.42;8.33;Sample  87.42;3;
87.33;Arabica;Ethiopia;;;Yirgacheffe;2009/2010;8.17;8.33;8.25;8.33;8.42;8.33;8.83;Sample  87.33;5;
87.25;Arabica;China;Echo Coffee;1450;Yunnan Province XiShuangBanNa City Menghai County;2015;8.42;8.25;8.08;8.17;7.92;8.0;8.42;Sample  87.25;10;Green
87.25;Arabica;Ethiopia;Drima Zede;1700-2000m;Gedio;2014;8.17;8.17;8.0;8.17;8.08;8.33;8.33;Sample  87.25;0;
87.25;Arabica;United States;El Rodeo;Meters above sea level: 2.019;Antioquía-Betulia;2014;8.0;8.25;8.08;8.5;8.25;8.0;8.17;Sample  87.25;0;None
87.17;Arabica;Costa Rica;SEVERAL;1300 MSNM;SAN RAMON;2014;8.08;8.25;8.0;8.17;8.0;8.33;8.33;Sample  87.17;11;Green
87.17;Arabica;Mexico;LA HERRADURA;1320;XALAPA;2012;8.17;8.25;8.17;8.0;7.83;8.17;8.58;Sample  87.17;13;Green
87.08;Arabica;United States;La curva;Meters above sea level: 2.112;Antioquía-Giraldo;2014;8.25;8.33;8.17;8.17;7.83;8.17;8.17;Sample  87.08;0;
87.08;Arabica;Ethiopia;;;Sidamo;2013;8.42;8.17;7.92;8.17;8.33;8.0;8.08;Sample  87.08;11;Bluish-Green
86.92;Arabica;Brazil;Fazenda Kaquend;1250m;South of Minas;2011;8.5;8.5;8.0;8.0;8.0;8.0;7.92;Sample  86.92;12;Green
86.92;Arabica;Ethiopia;;;Sidamo;2009/2010;7.83;8.25;8.08;8.17;8.17;8.17;8.25;Sample  86.92;5;
86.83;Arabica;Uganda;Chebonet (23) women coffee;1950;Kapchorwa Eastern;2013;8.42;8.17;8.17;8.17;7.83;7.92;8.17;Sample  86.83;12;Green
86.67;Arabica;Honduras;Los Hicaques;1400;Comayagua;2016;8.17;8.08;8.08;8.0;8.08;8.0;8.25;Sample  86.67;10;Green
86.58;Arabica;Taiwan;Tsoustructive Garden 鄒築園;1200;Leye, Alishan Township, Chiayi County;2015;8.0;8.0;8.0;8.25;8.0;8.17;8.17;Sample  86.58;0;Green
86.58;Arabica;Nicaragua;;;;;7.92;8.25;8.0;8.33;8.0;8.08;8.0;Sample  86.58;8;
86.5;Arabica;Tanzania, United Republic Of;;;;2012;8.42;8.17;8.17;8.0;7.58;8.0;8.17;Sample  86.50;11;Bluish-Green
86.42;Arabica;Brazil;Fazenda Recreio;1300;Vale da Grama;2011;8.5;8.17;8.0;7.75;8.0;8.0;8.0;Sample  86.42;12;Green
86.33;Arabica;Costa Rica;Exclusive Coffees S.A.;1300;West and Central Valley;2015/2016;8.17;7.83;8.0;8.08;7.83;8.0;8.42;Sample  86.33;0;Blue-Green
86.25;Arabica;Ethiopia;Haider Abamecha Coffee Plantation;1750-1800;Oromia;2014;8.0;8.08;7.92;8.0;8.08;8.08;8.08;Sample  86.25;10;Green
86.25;Arabica;Kenya;Kangunu;1800;Muranga;2013;8.08;8.0;8.0;8.25;7.92;7.92;8.08;Sample  86.25;12;Blue-Green
86.25;Arabica;United States (Hawaii);;;KONA;2012;8.08;8.17;8.0;7.92;7.92;7.83;8.33;Sample  86.25;0;
86.25;Arabica;United States (Hawaii);Kona Pacific Farmers Co-Op;;Kona;2010;8.25;8.42;8.08;7.75;7.67;7.83;8.25;Sample  86.25;0;
86.25;Arabica;Ethiopia;Phone number | 0911-51-08-01, Email | at;;Yirgacheffe;2009/2010;7.92;7.75;8.08;8.08;8.08;8.17;8.17;Sample  86.25;10;
86.17;Arabica;United States;La Primavera;Meters above sea level: 1.941;Antioquía-Urrao;2014;7.67;8.17;8.0;8.0;8.17;8.08;8.08;Sample  86.17;0;
86.17;Arabica;Thailand;Co-op #12;1300;Chiang Rai;2012;7.83;8.33;7.83;8.25;7.58;7.92;8.42;Sample  86.17;10;Green
86.17;Arabica;Brazil;Pereira Estate Coffee;1.2;Sul de Minas - Carmo de Minas;2010;8.17;7.92;7.92;7.75;8.33;8.0;8.08;Sample  86.17;8;
86.17;Arabica;Brazil;Pereira Estate Coffee;1.2;Sul de Minas - Carmo de Minas;2010;8.42;7.92;8.0;7.75;7.92;8.0;8.17;Sample  86.17;1;
86.08;Arabica;Taiwan;Sunshine Valley Estate 向陽高山咖啡;1000 M;Guoxing Township, Nantou County 南投縣國姓鄉;2015;8.08;8.17;7.75;8.08;7.75;7.83;8.42;Sample  86.08;12;Green
86.08;Arabica;Kenya;JUNGLE ESTATE;1754;NYERI;2014;8.08;8.08;8.0;8.0;7.83;8.08;8.0;Sample  86.08;11;Bluish-Green
86.08;Arabica;Brazil;Fazenda Kaquend;1250m;South of Minas Gerais;2011;8.33;8.0;8.0;8.0;7.75;8.0;8.0;Sample  86.08;11;Blue-Green
86.0;Arabica;Uganda;Kaasayi;;Eastern Uganda;2014;8.08;8.08;7.83;7.92;8.08;7.92;8.08;Sample  86.00;0;
86.0;Arabica;Colombia;Ecobio Colombia;900-1,500m;Tolima;2013;7.75;7.92;7.83;8.08;8.08;8.17;8.17;Sample  86.00;12;Green
86.0;Arabica;Kenya;KIANJAVI;1520m-2200m;Kiambu;2013;7.92;8.17;7.83;8.5;7.5;7.92;8.17;Sample  86.00;11;Green
86.0;Arabica;Uganda;;1400-1900M;Sipi, Mt Elgon;2012;8.25;8.0;7.83;8.08;8.0;7.92;7.92;Sample  86.00;10;Blue-Green
86.0;Arabica;Ethiopia;Contact | sidacoop@ethionet.net;1500-2000 m;Sidamo;2009/2010;7.75;8.08;8.0;8.25;8.0;8.0;7.92;Sample  86.00;1;
86.0;Arabica;United States (Hawaii);Hula Daddy Kona Coffee;1400ft;Kona;Fall 2009;8.33;8.17;7.75;8.0;7.75;7.83;8.17;Sample  86.00;0;
85.92;Arabica;Guatemala;LA ESPERANZA Y ANEXOS;;NUEVO ORIENTE;2016;7.92;8.08;7.92;8.08;8.08;7.83;8.0;Sample  85.92;10;Green
85.92;Arabica;Uganda;Sipi organic coffee project;1400-1900;Eastern;2013;8.17;8.17;7.92;8.08;7.83;7.75;8.0;Sample  85.92;12;Green
85.92;Arabica;Colombia;;1800 msnm;Huila;2013;8.0;8.0;8.0;8.17;7.83;8.0;7.92;Sample  85.92;0;Blue-Green
85.83;Arabica;Panama;La Berlina Estate;1600;Boquete;2017;8.0;8.0;7.92;8.08;7.83;8.0;8.0;Sample  85.83;8;Bluish-Green
85.83;Arabica;Ethiopia;;1800-2000;Oromia;2014;7.83;8.08;7.92;8.08;8.0;7.92;8.0;Sample  85.83;10;Green
85.83;Arabica;Guatemala;VALPARAISO;5000;ACATENANGO, CHIMALTENANGO;2012;7.83;8.0;8.0;8.17;7.83;8.0;8.0;Sample  85.83;12;Green
85.83;Arabica;Guatemala;FINCA EL LIMON;4650;NUEVO ORIENTE ALDEA EL LIMON;2012;8.0;8.0;7.83;8.33;7.83;7.83;8.0;Sample  85.83;10;Bluish-Green
85.75;Arabica;Ethiopia;seid damtew coffee export and plantation;;addis ababa;2017;7.83;8.0;7.83;8.17;7.92;8.0;8.0;Sample  85.75;9;None
85.75;Arabica;Peru;;;Cajamarca;2013;8.0;8.0;8.0;8.08;7.92;7.75;8.0;Sample  85.75;10;Green
85.75;Arabica;Papua New Guinea;Tairora Cherry – Bonta;1,700 mts;Eastern Highlands Province;2012;8.33;8.42;7.83;8.33;8.0;8.25;7.92;Sample  85.75;12;Bluish-Green
85.58;Arabica;El Salvador;El Majahual;1500 meters;Apaneca Llamantepec;2013;7.92;8.17;8.0;7.92;7.75;7.83;8.0;Sample  85.58;10;Blue-Green
85.58;Arabica;El Salvador;Finca La Esmeralda;1300~1400 m.s.l;Ataco, Apaneca - Ilamatepec mountain range;2012;7.83;8.0;8.0;7.75;7.92;8.17;7.92;Sample  85.58;11;None
85.58;Arabica;United States (Hawaii);;;KONA;2012;7.83;8.0;7.92;7.75;8.08;8.0;8.0;Sample  85.58;0;
85.5;Arabica;Panama;Elida Estate;1680;Boquete;2014;8.0;7.75;7.83;7.83;7.67;8.58;7.83;Sample  85.50;9;
85.5;Arabica;Kenya;Inoi;1900M;Kirinyaga;2014;7.92;7.92;7.83;8.08;7.83;7.92;8.0;Sample  85.50;10;Green
85.5;Arabica;Ethiopia;;1800-2000;Oromia;2015;7.83;8.0;7.83;7.92;7.83;8.08;8.0;Sample  85.50;12;Green
85.5;Arabica;Uganda;Buginyanya;1600;Bulambuli Eastern region;2013;8.33;7.92;7.67;7.92;7.67;7.92;8.08;Sample  85.50;12;Green
85.5;Arabica;Guatemala;ASOPERC;5600-5760 METROS;HUEHUETENANGO;2013;8.0;7.83;7.67;8.33;7.83;8.0;7.83;Sample  85.50;11;Green
85.42;Arabica;Ethiopia;;1800-2000;Oromia;2015;7.75;7.83;7.83;8.17;7.92;7.83;8.08;Sample  85.42;10;Green
85.42;Arabica;Uganda;Chesiyo farmer group;1950;Kapchorwa;2013;8.08;8.0;7.83;7.67;8.0;7.83;8.0;Sample  85.42;12;Green
85.42;Arabica;United States (Hawaii);;;KONA;2012;7.92;7.92;7.75;7.92;7.75;7.92;8.25;Sample  85.42;0;
85.42;Arabica;Brazil;Fazenda Serra de Três Barras;1250m;South of Minas Gerais;2011;8.0;8.0;8.0;7.67;7.75;8.0;8.0;Sample  85.42;11;Blue-Green
85.42;Arabica;El Salvador;Sierra Nevada;1400 M;Apaneca Ilamatepec Mountain Range;2009 / 2010;8.08;7.83;7.83;8.08;7.83;7.83;7.92;Sample  85.42;1;
85.33;Arabica;China;Pu'er City Longke Coffee Co.Ltd;1700;Yunnan Province Pu'er City Lancang County;2015;8.0;8.0;8.0;7.83;7.83;7.75;7.92;Sample  85.33;10;Green
85.33;Arabica;Guatemala;El Injerto S.A.;1770;Huehuetenango;2014;7.83;7.75;7.83;7.67;7.83;8.58;7.83;Sample  85.33;11;Green
85.33;Arabica;Costa Rica;Several;1300;West Valley;2014;7.92;8.08;8.0;7.92;8.0;8.08;8.0;Sample  85.33;0;Bluish-Green
85.33;Arabica;Costa Rica;SEVERAL;1300 msnm;SAN RAMON;2014;8.0;7.58;7.58;7.67;8.08;8.5;7.92;Sample  85.33;10;Bluish-Green
85.33;Arabica;Kenya;;above 1600 M;Central Kenya - Nyeri;2012;7.83;8.08;7.75;8.08;7.92;7.75;7.92;Sample  85.33;0;Green
85.33;Arabica;Kenya;;Above 1200 M;Blend - Central & western Kenya;2012;8.0;7.92;7.92;8.08;7.83;7.75;7.83;Sample  85.33;0;Green
85.33;Arabica;Ethiopia;Phone Number | 0911-513824 email: gmt.ft;;Yirgacheffe;2009/2010;7.83;7.83;7.92;8.08;7.75;7.83;8.08;Sample  85.33;5;
85.33;Arabica;Ethiopia;;;Yirgacheffe;2009/2010;7.92;7.83;7.75;8.33;7.75;7.75;8.0;Sample  85.33;10;
85.25;Arabica;Guatemala;LA ESPERANZA Y ANEXOS;;ORIENTE;2016;8.0;7.92;7.75;8.0;7.92;7.83;7.83;Sample  85.25;10;Green
85.25;Arabica;Colombia;varios;1550 msnm;santander;2015;8.17;7.92;7.83;8.0;7.58;7.83;7.92;Sample  85.25;11;Green
85.25;Arabica;Colombia;;1550;Santander;2014;7.58;8.08;7.92;7.83;8.0;7.92;7.92;Sample  85.25;12;Green
85.17;Arabica;Indonesia;;1250-1400 meter;Lintong;2012;7.75;7.83;7.67;8.0;8.08;7.83;8.0;Sample  85.17;11;Green
85.17;Arabica;Guatemala;Coop. Hoja Blanca - Fedecocagua;1400 msm;Huehuetenango;2012;8.25;8.0;7.67;7.92;7.75;7.67;7.92;Sample  85.17;0;
85.08;Arabica;Ethiopia;SEID DAMTEW COFFEE PLANATION;;Kefa Zone, Gimbo Distict, at a place called Woka Araba, South West Ethiopia.;2016;7.75;8.0;7.58;8.0;8.0;7.92;7.83;Sample  85.08;11;Green
85.08;Arabica;Colombia;;2.560 msnm;PASTO;2015;8.17;7.83;7.58;8.08;8.0;7.75;7.67;Sample  85.08;0;
85.08;Arabica;Ethiopia;Aricha Coop;1700;Aricha;2014;8.42;8.0;7.42;8.0;7.92;7.92;8.08;Sample  85.08;10;Green
85.08;Arabica;United States (Hawaii);;;KONA;2014;7.58;7.83;7.83;7.92;7.83;8.17;7.92;Sample  85.08;11;Bluish-Green
85.08;Arabica;Colombia;;2136 msnm;CUNDINAMARCA;2012;7.83;8.0;7.75;7.75;7.83;7.83;8.08;Sample  85.08;11;Green
85.08;Arabica;United States (Hawaii);;;Kona;2010-2011;8.08;8.17;7.92;8.0;8.08;8.0;8.17;Sample  85.08;1;
85.08;Arabica;Ethiopia;;;Sidamo;2010;7.67;8.0;7.83;8.0;7.92;7.83;7.83;Sample  85.08;0;
85.08;Arabica;United States (Hawaii);Kona Pacific Farmers Cooperative;;Kona;;7.5;7.92;8.25;7.83;7.92;7.75;7.92;Sample  85.08;0;
85.0;Arabica;Uganda;Mount Elgon Area;1800;Eastern Uganda;2016;8.17;7.92;7.75;7.75;7.67;7.75;8.0;Sample  85.00;11;Green
85.0;Arabica;Colombia;;;Huila;2016;8.0;7.92;7.75;7.92;7.75;7.83;7.83;Sample  85.00;0;Green
85.0;Arabica;Costa Rica;Estate La Patricia;1900;Tarrazu;2016;7.83;8.0;7.58;7.92;7.92;7.83;7.92;Sample  85.00;12;Green
85.0;Arabica;Mexico;Varias fincas;1300;Veracruz;2015;7.83;8.0;7.83;7.75;7.67;7.83;8.08;Sample  85.00;9;Green
85.0;Arabica;Kenya;;-1;;2015;8.17;7.83;7.92;7.75;7.67;7.83;7.83;Sample  85.00;11;Green
85.0;Arabica;Kenya;Machure Estate;1580;Central Kenya;2012;7.75;7.83;7.75;8.08;8.0;7.75;7.83;Sample  85.00;0;Green
85.0;Arabica;Brazil;Sitío São Geraldo;1100m;Grama Vale;2012;8.0;8.0;7.83;7.83;7.67;7.67;8.0;Sample  85.00;12;Green
85.0;Arabica;Mexico;KASSANDRA;1400 MASL;Mexico;2010-2011;7.92;8.17;7.75;8.08;7.42;7.83;7.83;Sample  85.00;0;
85.0;Arabica;United States (Hawaii);Kona Pacific Farmers Cooperative;;Kona;;7.75;7.92;7.75;7.75;8.0;8.0;7.83;Sample  85.00;0;
85.0;Arabica;Guatemala;La Igualdad;3500-5200 feet;Chuva, San Marcos;2009/2010;7.83;8.08;7.67;8.0;7.75;7.67;8.0;Sample  85.00;4;
84.92;Arabica;Colombia;;;Huila;2016;7.92;7.92;7.67;7.83;7.92;7.83;7.83;Sample  84.92;0;
84.92;Arabica;Colombia;;De 1600 a 1950 msnm;Huila;2015;7.92;7.83;7.75;7.83;7.75;8.0;7.83;Sample  84.92;12;Green
84.92;Arabica;Taiwan;Baishengcun Coffee 百勝村咖啡莊園;800 M;Guoxing Township, Nantou County 南投縣國姓鄉;2015;7.67;7.83;8.0;7.58;8.0;7.92;7.92;Sample  84.92;11;Green
84.92;Arabica;Tanzania, United Republic Of;Hasambo AMCOS;1620M;Mbeya;2014;8.0;7.83;7.83;7.92;7.75;7.75;7.83;Sample  84.92;12;Green
84.92;Arabica;Colombia;;De 1600 a 1950 msnm;HUILA;2012;7.75;7.92;7.83;7.75;7.75;8.0;7.92;Sample  84.92;11;Green
84.92;Arabica;Mexico;EL SUSPIRO;1200;COATEPEC;2012;7.75;8.0;7.75;7.83;7.5;7.92;8.17;Sample  84.92;11;
84.92;Arabica;Brazil;Fazenda Grota Funda;1200m;South of Minas Gerais;2011;8.0;7.92;7.75;7.75;8.0;7.75;7.75;Sample  84.92;11;Green
84.92;Arabica;Brazil;Sitio Claro;1000 m;South of Minas Gerais;2011;8.0;8.0;7.75;8.0;7.5;7.75;7.92;Sample  84.92;12;Green
84.92;Arabica;Kenya;;;;2009-2010;8.0;7.67;7.83;8.17;7.92;7.75;7.58;Sample  84.92;6;
84.83;Arabica;Taiwan;Shi Fang Yuan 十方源;350;Dongshan Dist., Tainan City 臺南市東山區;2016;7.92;7.58;7.83;7.83;7.83;7.83;8.0;Sample  84.83;0;Green
84.83;Arabica;Uganda;Mt.Elgon Bugisu shamba 2;1400-1900;Eastern;2013;7.75;7.92;7.67;7.67;8.25;7.75;7.83;Sample  84.83;12;Green
84.83;Arabica;United States (Hawaii);;;KONA;2012;7.67;7.75;7.75;7.75;7.83;8.0;8.08;Sample  84.83;0;
84.83;Arabica;Ethiopia;Contact | sidacoop@ethionet.net;1500-2000 m;Sidamo;2009/2010;7.75;7.92;7.83;7.92;7.75;7.67;8.0;Sample  84.83;10;
84.83;Arabica;Ethiopia;Contact | sidacoop@ethionet.net;1500-2000 m;Sidamo;2009/2010;7.42;7.92;7.92;8.0;7.83;7.83;7.92;Sample  84.83;10;
84.75;Arabica;Thailand;Matsuzawa Coffee;;Thailand;2015;7.75;7.75;7.75;7.75;8.0;7.75;8.0;Sample  84.75;12;Green
84.75;Arabica;Kenya;KARATINA;1800;NYERI;2014;7.92;7.83;7.58;7.92;7.75;7.83;7.92;Sample  84.75;13;Green
84.75;Arabica;Honduras;Cerro Bueno;1450 msnm;Marcala;2014;7.83;7.75;8.0;7.67;7.67;7.67;8.17;Sample  84.75;11;Green
84.75;Arabica;El Salvador;Several;1200 mts;Santa Ana;2010-2011;7.75;8.0;8.0;8.33;7.67;7.92;7.75;Sample  84.75;15;
84.75;Arabica;Nicaragua;Santa Martha;800-1050m;Jinotega;2009 - 2010;7.83;7.58;7.58;7.83;7.75;7.67;8.5;Sample  84.75;18;
84.67;Arabica;El Salvador;Monterrey;1350;Apaneca;2016;7.83;7.83;7.5;8.0;7.83;7.67;8.0;Sample  84.67;0;Blue-Green
84.67;Arabica;Indonesia;SRAN Temanggung Plantation;1200;Temanggung, Indonesia;2016;7.92;7.83;7.75;7.75;7.75;7.75;7.92;Sample  84.67;12;Green
84.67;Arabica;Japan;Ada Farm;170;ADA OKINAWA JAPAN;;7.75;7.75;7.75;7.42;8.08;7.83;8.08;Sample  84.67;12;Green
84.67;Arabica;Costa Rica;Rio Jorco;1150;Tarrazu;2015;8.08;7.75;7.67;7.83;7.5;7.92;7.92;Sample  84.67;10;Blue-Green
84.67;Arabica;Guatemala;SAN DIEGO BUENA VISTA;1600;ACATENANGO;2015;7.75;7.83;7.58;8.0;7.92;7.75;7.83;Sample  84.67;10;Green
84.67;Arabica;Costa Rica;Coopetarrazú;1750;Tarrazú;2014;8.17;8.0;7.83;7.17;7.83;7.75;7.92;Sample  84.67;12;Green
84.67;Arabica;Ethiopia;Moplaco;1900M;Yirgacheffe;2014;8.08;7.83;7.75;7.83;7.58;7.67;7.92;Sample  84.67;10;
84.67;Arabica;Costa Rica;Finca Salaca Las Brisas;1750M;Costa Rica;2014;7.67;7.58;7.75;7.75;7.67;8.58;7.67;Sample  84.67;8;Green
84.67;Arabica;Costa Rica;VARIOS;1200;WEST VALLEY / CENTRAL VALLEY BLEND;2014;8.0;7.58;7.83;7.75;7.75;7.75;8.0;Sample  84.67;11;Green
84.67;Arabica;Costa Rica;;;;2012;8.08;7.83;7.75;7.83;7.92;8.0;7.92;Sample  84.67;0;Green
84.67;Arabica;Taiwan;Dragon 龍咖啡;1000 M;Taichung Xinshe 台中市新社區;2013/2014;8.0;7.92;7.75;7.75;7.75;7.75;7.75;Sample  84.67;11;Green
84.67;Arabica;Colombia;;1550;Santander;2013;7.75;7.83;7.75;7.83;7.75;7.83;7.92;Sample  84.67;0;Green
84.67;Arabica;Kenya;;2000;Nyeri Province;2012;7.75;7.92;7.83;8.0;7.58;7.75;7.83;Sample  84.67;11;Bluish-Green
84.67;Arabica;Guatemala;AGROPECUARIA QUIAGRAL;4300;ORIENTE;2012;8.0;7.83;7.67;7.83;7.67;8.0;7.67;Sample  84.67;11;Green
84.67;Arabica;Guatemala;VALPARAISO;5000;ACATENANGO, CHIMALTENANGO;2012;7.67;7.83;7.67;8.0;7.67;7.83;8.0;Sample  84.67;12;Green
84.67;Arabica;Mexico;EL NOGAL, LA HIGUERA, LOS LAURELES;1200;EL REMUDADERO;2012;7.83;7.58;7.67;7.92;7.92;7.83;7.92;Sample  84.67;13;
84.67;Arabica;Uganda;;1700-1850m;Mbale;2012;7.92;7.83;7.75;7.92;7.67;7.75;7.83;Sample  84.67;11;Blue-Green
84.67;Arabica;Peru;;;Penachi, CECANOR;;7.67;7.83;7.75;7.75;7.92;7.83;7.92;Sample  84.67;0;
84.67;Arabica;Ethiopia;Contact | sidacoop@ethionet.net;1500-2000 m;Sidamo;2009/2010;7.42;7.75;7.75;8.0;8.0;7.92;7.83;Sample  84.67;20;
84.58;Arabica;Kenya;JUNGLE ESTATE;1754;NYERI;;7.92;7.75;7.83;7.75;7.58;7.92;7.83;Sample  84.58;11;Blue-Green
84.58;Arabica;Colombia;;1500;Santander;2016;7.83;7.67;7.58;7.92;7.67;7.83;8.08;Sample  84.58;0;Blue-Green
84.58;Arabica;Colombia;;;Huila;2016;7.92;7.83;7.58;8.0;7.83;7.67;7.75;Sample  84.58;0;Green
84.58;Arabica;Kenya;BLEND;1800;NYERI;2013;7.83;7.83;7.83;7.75;7.58;7.83;7.92;Sample  84.58;10;Bluish-Green
84.58;Arabica;Guatemala;EL MORITO;5000 FT.;JALAPA;2014;7.75;7.83;7.67;7.92;7.75;7.83;7.83;Sample  84.58;11;Green
84.58;Arabica;Guatemala;EL PAPATURRO;4000 PSN;ORIENTE;2014;8.0;7.92;7.67;7.58;7.58;7.67;8.17;Sample  84.58;9;Green
84.58;Arabica;Colombia;;1550;Santander;2013;7.67;7.67;7.58;7.75;7.58;8.5;7.83;Sample  84.58;0;
84.58;Arabica;Colombia;;1600 a 1900 msnm;Huila;2013;7.75;7.75;7.83;7.75;7.58;8.0;7.92;Sample  84.58;0;
84.58;Arabica;Kenya;;;;2013;7.75;7.75;7.75;8.08;7.75;7.75;7.75;Sample  84.58;0;Green
84.58;Arabica;Colombia;;1750 msnm;Huila;2012;7.67;7.83;7.83;8.0;7.58;7.92;7.75;Sample  84.58;0;Green
84.58;Arabica;Costa Rica;La Chaparral;1450 ~ 1700 m;Tres Rios;2012;7.75;7.83;7.75;8.0;7.83;7.67;7.75;Sample  84.58;12;Bluish-Green
84.58;Arabica;Colombia;varias;1800 msnm;huila;2012;7.42;7.67;7.75;7.75;8.08;7.83;8.08;Sample  84.58;11;Green
84.58;Arabica;Brazil;Fazenda Recreio;1300m;Vale da Grama;2011;8.0;8.0;7.75;7.75;7.58;7.75;7.75;Sample  84.58;12;Green
84.58;Arabica;Brazil;Fazenda Vista Alegre;1100m;Mountains of Minas Gerais;2011;8.5;8.0;7.5;7.75;7.5;7.83;7.5;Sample  84.58;11;Blue-Green
84.5;Arabica;Costa Rica;;1200;Valle Central;2017 / 2018;7.92;7.67;7.92;7.75;7.67;7.58;8.0;Sample  84.50;10;Bluish-Green
84.5;Arabica;Uganda;Kawacom Sipi Project;1750;Eastern Uganda;2016;7.92;7.75;7.67;7.75;7.83;7.75;7.83;Sample  84.50;11;Green
84.5;Arabica;China;Menglian Ban’an Coffee Processing Factory;1680;Yunnan Province Pu'er City Menglian County;2015;7.75;7.92;7.67;7.83;7.75;7.67;7.92;Sample  84.50;10;Green
84.5;Arabica;Costa Rica;Coopetarrazú;1700;Tarrazú;2014;7.92;7.83;7.83;7.83;7.58;7.58;7.92;Sample  84.50;11;Green
84.5;Arabica;Colombia;;1800;Cauca;2015/2016;8.08;7.67;7.83;7.83;7.67;7.67;7.75;Sample  84.50;12;Green
84.5;Arabica;China;PUER JIANGCHENG FUWANG COFFEE BIOTECHNOLOGY CO., LTD;Above 1100m;Pu'er City, Yunnan, China;2013;7.67;8.0;7.75;7.83;7.75;7.58;7.92;Sample  84.50;0;Green
84.5;Arabica;Guatemala;EL SACRAMENTO;4300;ORIENTE;2013;8.17;7.83;7.67;7.83;7.67;7.83;7.5;Sample  84.50;11;Green
84.5;Arabica;Kenya;Rumukia Farmers;2000 m;Nyeri province, Kenya;2012;7.92;7.83;7.67;8.0;7.67;7.75;7.67;Sample  84.50;11;Blue-Green
84.5;Arabica;Mexico;LA BARRANCA;1350;HUSTUSCO;2012;8.0;7.92;7.42;8.08;7.5;7.67;7.92;Sample  84.50;12;Green
84.5;Arabica;Mexico;FINCA EL RETIRO;1500;JALTENANGO;2012;7.92;7.83;7.75;7.75;7.75;7.83;7.67;Sample  84.50;11;
84.5;Arabica;Guatemala;NUEVA GRANADA;;EL TUMBADOR, SAN MARCOS;2012;7.67;8.0;7.67;8.0;7.5;7.83;7.83;Sample  84.50;11;Green
84.5;Arabica;Brazil;;mmm;mmm;mmm;7.81;7.81;7.88;7.75;7.38;8.25;8.13;Sample  84.50;0;
84.5;Arabica;Brazil;;TEST;TEST;TEST;8.17;7.67;7.75;7.75;7.67;7.75;7.75;Sample  84.50;0;
